[step37-defaults] serving doors armed ON for the SlidingGatedMoe program (per-flag =0 kills, =1 forces; owner flip 2026-08-27)
[skey] chain=graph_chain_s round=16 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=17 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=18 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=19 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=20 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=21 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=22 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=23 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=24 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=25 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=26 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=27 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=28 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=29 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=30 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=31 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=32 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=33 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=34 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=35 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=36 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=37 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=38 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=39 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=40 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=41 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=42 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=43 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=44 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=45 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=46 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=47 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=48 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=49 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=50 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=51 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=52 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=53 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=54 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=55 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=56 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=57 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=58 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=59 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=60 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=61 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=62 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=63 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=64 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=65 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=66 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=67 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=68 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=69 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=70 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=71 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=72 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=73 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=74 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=75 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=76 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=77 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=78 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=79 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=80 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=81 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=82 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=83 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=84 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=85 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=86 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=87 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=88 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=89 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[mtp-chain] heads=3 policy=step-modulo prefix-replay kv=per-head
[gemm-prime] ENGAGED t=613 base=0 seq_end=613 chunks<=4096 (GEMM trunk + grouped MoE)
[mtp-chain-graph] captured mode=sampled heads=3 interior=3 last=3 filtered=1 key=SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false }
[skey] burst sampled=1 pure_temp=0 capturable=1 temp=0.5 top_k=0 top_p=0.9 min_p=0 pen_on=0 k=1 graph_draft=1 graph_s_parked=0 chain_s_parked=1 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=0 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=1 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=2 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=3 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=4 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 1, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
